File,Duration,Character,Action,Speak
00008 (0x05F0).dsp.wav,0.986600,Daisy,sigh2,
00009 (0x05F1).dsp.wav,0.645550,Toad,sigh2,
00010 (0x05F2).dsp.wav,1.096900,Toadette,sigh2,
00011 (0x05F3).dsp.wav,1.186850,Luigi,sigh2,
00012 (0x05F4).dsp.wav,0.944500,Mario,sigh2,
00013 (0x05F5).dsp.wav,0.353950,Koopa,sigh2,
00014 (0x05F6).dsp.wav,1.181050,Peach,sigh2,
00015 (0x05F7).dsp.wav,0.503450,Boo,sigh2,
00016 (0x05F8).dsp.wav,0.954650,Wario,sigh2,
00017 (0x05F9).dsp.wav,1.555500,Waluigi,sigh2,
00018 (0x05FA).dsp.wav,0.545400,Yoshi,sigh2
